ID,ItemID,OptionNum,Name,Type,Attributes,Active
202,249,1,Sizes available,Drop Down,(1) 5-8 inch cutting:12.00~(3) 5-8 inch cuttings:20,Yes
204,251,1,Available sizes,Drop Down,1 oz. (175000 seeds):15.00~4 oz.:30.00~8 oz.:40.00~1 lb.:60.00,Yes
205,252,1,Available sizes,Drop Down,1/10 oz.:2.50~1 oz.:15.00~4 oz.:50.00~8 oz.:90.00~1 lb:150.00,Yes
206,253,1,Sizes available,Drop Down,1 oz.:20.00~4 oz.:65.00~8 oz.:100.00~1 lb.:180.00,Yes
207,254,1,Sizes available,Drop Down,1/2 oz.:35.00~1 oz.:50.00,Yes
208,255,1,Sizes available,Drop Down,"1/10 oz.:2.75 (6300 seeds)~1 oz.:15.00 (63,000 seeds)~4 oz.:50.00
",Yes
209,256,1,Sizes available,Drop Down,1/10 oz. (450 seeds):1.50~1 oz. (4500 seeds):5.00~4 oz:10.00~8 oz:15.00~1 lb.:25.00,Yes
210,257,1,Sizes available,Drop Down,1 oz.:45.00~4 oz.:150.00~8 oz.:200.00~1 pound:350.00,Yes
211,258,1,Sizes available,Drop Down,25 seeds:1.50~1/10 oz.:3.50~1 oz:10.00~4 oz:30.00~8 oz:50.00~1 lb.:75.00,Yes
212,259,1,Sizes available,Drop Down,1/10 oz. (Blue):1.65~1 oz. (Blue):5.00~4 oz. (Blue):12.00~8 oz. (Blue):15.00~1 lb. (Blue):18.00,Yes
305,352,1,Sizes available,Drop Down,1/10 oz.:3~1 oz.:10.00~4 oz.:25.00~8 oz.:40.00~1 lb.:75.00,Yes
375,386,1,Sizes available,Drop Down,5 inch plant:12.00,Yes
607,623,1,Sizes available,Radio Button,1 oz.:50.00,Yes
213,260,1,Sizes available,Drop Down,1/10 oz.:2,Yes
214,261,1,Sizes available,Drop Down,1/10 oz.:2~1 oz.:10~4 oz.:25.00~8 oz.:60.00~1 lb.:100.00,Yes
215,262,1,Sizes available,Drop Down,4 oz:20.00~8 oz:30.00~1 lb.:45.00,Yes
374,385,1,Sizes available,Drop Down,4 inch plant:15.00~6 inch plant:30.00,Yes
216,263,1,Sizes available,Drop Down,1 oz.:30.00~4 oz:80.00~8 oz:145.00~1 lb:225,Yes
217,264,1,Sizes available,Drop Down,1/10 oz.:1.50~1 oz.:8.00~4 oz:20.00~8 oz:25.00~1 lb.:35.00,Yes
218,265,1,Sizes available,Drop Down,1 oz.:8.00~4 oz:18.00~8 oz:25.00~1 lb.:40.00,Yes
219,266,1,Sizes available,Radio Button,1 oz.:20.00,Yes
385,392,1,Sizes availabe,Drop Down,(3) 8-10 inch cuttings:15.00~(6) 8-10 inch cuttings:25.00,Yes
220,267,1,Select size,Drop Down,25 seeds:1.50~100 seeds:3.50~500 seeds:13.50~1000 seeds:20.00,Yes
1233,1259,1,Sizes available,Drop Down,"500 seeds :22.00~1,000 seeds:36.00",Yes
221,268,1,Sizes available,Drop Down,1/10 oz.:1.85~1 oz.:10.00~4 oz.:20.00~8 oz.:25.00~1 lb.:40.00,Yes
222,269,1,Sizes available,Drop Down,1 oz.:40.00~4 oz.:110.00~8 oz:180.00~1 lb.:320.00,Yes
